nim,limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score,total_score,jumlah_benar,jumlah_salah,waktu_detik,mudah_score,sedang_score,sulit_score,konsistensi_score,attempt_ke,level_quiz,label_kelompok,cluster,cluster_label
202300025,70.3,64.0,59.4,82.3,66.2,59.3,66.9,13,7,1067,67.2,70.8,62.8,8.62,2,Mudah,Intermediate,0,Intermediate
202300026,56.3,76.8,69.6,52.1,65.1,73.6,65.6,13,7,965,66.6,60.8,69.4,9.74,1,Sedang,Intermediate,0,Intermediate
202300027,28.9,47.8,19.8,34.5,41.3,39.1,35.2,7,13,1483,38.3,27.2,40.2,9.88,1,Mudah,Beginner,1,Beginner
202300028,63.6,77.0,84.6,56.6,57.4,52.7,65.3,13,7,824,70.3,70.6,55.0,12.72,1,Mudah,Intermediate,0,Intermediate
202300029,50.8,49.9,62.4,78.6,71.6,52.3,60.9,12,8,1009,50.3,70.5,62.0,12.06,1,Sulit,Intermediate,0,Intermediate
202300030,38.2,33.5,38.1,30.1,20.7,39.6,33.4,7,13,938,35.8,34.1,30.2,7.15,3,Mudah,Beginner,1,Beginner
202300031,54.4,65.2,61.1,53.4,58.6,72.9,60.9,12,8,838,59.8,57.2,65.8,7.3,3,Sedang,Intermediate,0,Intermediate
202300032,24.8,44.4,27.2,31.9,55.4,25.5,34.9,7,13,1478,34.6,29.6,40.4,12.4,2,Mudah,Beginner,1,Beginner
202300033,47.2,56.6,25.1,23.1,30.5,36.9,36.6,7,13,1223,51.9,24.1,33.7,13.15,2,Mudah,Beginner,1,Beginner
202300034,81.6,100.0,77.7,78.4,90.8,83.8,85.4,17,3,558,90.8,78.1,87.3,8.57,1,Sulit,Advanced,0,Intermediate
202300035,74.8,73.5,96.8,82.7,91.4,97.7,86.2,17,3,478,74.2,89.8,94.6,10.73,2,Sedang,Advanced,0,Intermediate
202300036,75.2,89.4,81.8,85.8,67.9,77.9,79.7,16,4,758,82.3,83.8,72.9,7.73,1,Sedang,Advanced,0,Intermediate
202300037,23.3,51.2,45.2,26.4,36.9,30.8,35.6,7,13,1287,37.2,35.8,33.8,10.92,1,Sulit,Beginner,1,Beginner
202300038,48.2,25.1,45.8,65.5,62.4,44.4,48.6,10,10,1124,36.7,55.6,53.4,14.52,1,Mudah,Beginner,1,Beginner
202300039,60.6,52.4,52.0,73.0,77.8,60.0,62.6,13,7,1171,56.5,62.5,68.9,10.64,2,Sedang,Intermediate,0,Intermediate
202300040,59.2,65.0,75.2,49.5,47.5,52.0,58.1,12,8,613,62.1,62.4,49.8,10.63,1,Sedang,Intermediate,0,Intermediate
202300041,48.6,50.3,34.6,37.3,46.4,42.0,43.2,9,11,1082,49.4,36.0,44.2,6.32,2,Mudah,Beginner,1,Beginner
202300042,53.6,60.5,63.3,57.5,66.4,61.6,60.5,12,8,1153,57.0,60.4,64.0,4.48,1,Sedang,Intermediate,0,Intermediate
202300043,13.6,37.9,67.0,36.7,52.5,49.4,42.8,9,11,1093,25.8,51.8,51.0,18.09,3,Mudah,Beginner,1,Beginner
202300044,85.0,82.4,69.4,75.8,93.3,77.6,80.6,16,4,541,83.7,72.6,85.4,8.26,1,Sulit,Advanced,0,Intermediate
202300045,43.7,40.6,46.7,21.6,47.4,53.5,42.2,8,12,1221,42.2,34.2,50.4,10.99,1,Mudah,Beginner,1,Beginner
202300046,68.0,65.6,75.4,45.8,67.3,60.9,63.8,13,7,1094,66.8,60.6,64.1,10.0,1,Sedang,Intermediate,0,Intermediate
202300047,64.6,29.2,38.2,57.6,41.6,46.6,46.3,9,11,962,46.9,47.9,44.1,12.98,1,Mudah,Beginner,1,Beginner
202300048,51.8,61.9,76.2,34.5,58.9,76.3,59.9,12,8,1166,56.8,55.4,67.6,15.81,2,Sedang,Intermediate,0,Intermediate
202300049,56.0,66.6,64.3,59.6,63.3,62.8,62.1,12,8,1077,61.3,62.0,63.0,3.75,1,Mudah,Intermediate,0,Intermediate
202300050,20.0,48.4,43.8,27.8,21.9,33.5,32.6,7,13,1009,34.2,35.8,27.7,11.59,2,Mudah,Beginner,1,Beginner
202300051,72.2,63.6,80.7,95.3,81.1,86.7,79.9,16,4,762,67.9,88.0,83.9,11.05,1,Sulit,Advanced,0,Intermediate
202300052,79.3,67.0,42.9,41.4,66.4,54.6,58.6,12,8,831,73.2,42.2,60.5,14.95,1,Sedang,Intermediate,0,Intermediate
202300053,93.3,98.1,78.1,79.9,78.3,88.1,86.0,17,3,613,95.7,79.0,83.2,8.52,1,Sulit,Advanced,0,Intermediate
202300054,77.4,81.5,90.6,81.7,76.8,95.7,84.0,17,3,796,79.4,86.2,86.2,7.58,2,Sedang,Advanced,0,Intermediate
202300055,75.0,89.8,63.8,83.9,83.1,51.4,74.5,15,5,1178,82.4,73.8,67.2,14.46,1,Sulit,Intermediate,0,Intermediate
202300056,76.5,100.0,79.6,86.7,86.5,77.8,84.5,17,3,481,88.2,83.2,82.2,8.74,1,Sulit,Advanced,0,Intermediate
202300057,19.8,49.0,45.4,33.5,15.2,43.0,34.3,7,13,1152,34.4,39.4,29.1,14.08,1,Sedang,Beginner,1,Beginner
202300058,61.7,36.4,50.5,37.6,19.7,46.8,42.1,8,12,1189,49.0,44.0,33.2,14.36,2,Mudah,Beginner,1,Beginner
202300059,36.6,33.9,30.2,38.7,34.2,25.0,33.1,7,13,1126,35.2,34.4,29.6,4.89,2,Sulit,Beginner,1,Beginner
202300060,29.9,32.6,24.3,21.8,40.7,44.0,32.2,6,14,1118,31.2,23.0,42.4,8.8,2,Sedang,Beginner,1,Beginner
202300061,26.4,51.0,65.2,39.0,44.1,7.4,38.8,8,12,931,38.7,52.1,25.8,20.07,3,Sedang,Beginner,1,Beginner
202300062,29.9,53.2,18.0,35.2,40.6,35.4,35.4,7,13,1311,41.6,26.6,38.0,11.64,1,Mudah,Beginner,1,Beginner
202300063,84.0,75.9,89.2,83.0,84.5,88.8,84.2,17,3,629,80.0,86.1,86.6,4.83,1,Sedang,Advanced,0,Intermediate
202300064,27.7,15.8,38.2,29.1,25.7,43.8,30.0,6,14,1017,21.8,33.7,34.8,9.84,3,Mudah,Beginner,1,Beginner
202300065,42.7,36.4,40.7,44.9,28.0,28.8,36.9,7,13,1390,39.6,42.8,28.4,7.17,4,Mudah,Beginner,1,Beginner
202300066,54.7,75.9,40.2,62.3,63.4,70.8,61.2,12,8,1082,65.3,51.2,67.1,12.63,1,Sulit,Intermediate,0,Intermediate
202300067,46.0,51.4,28.3,22.2,30.8,16.8,32.6,7,13,1192,48.7,25.2,23.8,13.51,2,Mudah,Beginner,1,Beginner
202300068,78.5,93.2,100.0,68.1,88.1,74.6,83.8,17,3,563,85.8,84.0,81.4,12.07,1,Mudah,Advanced,0,Intermediate
202300069,40.4,27.3,36.7,49.5,61.2,35.6,41.8,8,12,1283,33.8,43.1,48.4,11.94,1,Mudah,Beginner,1,Beginner
202300070,66.5,88.8,91.0,71.9,96.9,74.4,81.6,16,4,558,77.6,81.4,85.6,12.23,1,Sedang,Advanced,0,Intermediate
202300071,54.3,86.9,70.2,81.7,62.7,67.7,70.6,14,6,742,70.6,76.0,65.2,12.05,1,Mudah,Intermediate,0,Intermediate
202300072,30.3,24.4,37.0,18.3,32.2,36.0,29.7,6,14,1338,27.4,27.6,34.1,7.18,3,Sedang,Beginner,1,Beginner
202300073,24.6,21.0,31.1,64.1,48.3,37.0,37.7,8,12,924,22.8,47.6,42.6,16.15,2,Mudah,Beginner,1,Beginner
202300074,74.2,83.6,79.3,73.8,79.4,91.1,80.2,16,4,465,78.9,76.6,85.2,6.46,1,Mudah,Advanced,0,Intermediate
202300075,59.2,43.7,57.0,88.4,59.3,86.2,65.6,13,7,604,51.4,72.7,72.8,17.77,1,Sedang,Intermediate,0,Intermediate
202300076,53.9,59.2,76.1,57.3,60.0,53.2,60.0,12,8,692,56.6,66.7,56.6,8.37,3,Sedang,Intermediate,0,Intermediate
202300077,61.3,27.4,56.3,60.2,68.6,65.4,56.5,11,9,641,44.3,58.2,67.0,14.89,1,Mudah,Intermediate,0,Intermediate
202300078,30.9,55.6,21.9,54.2,52.3,63.1,46.3,9,11,1497,43.2,38.0,57.7,16.12,2,Sedang,Beginner,1,Beginner
202300079,55.1,41.7,33.8,31.6,22.9,42.1,37.9,8,12,1073,48.4,32.7,32.5,11.04,2,Sedang,Beginner,1,Beginner
202300080,17.7,39.7,54.5,48.0,45.7,19.5,37.5,8,12,990,28.7,51.2,32.6,15.41,2,Sedang,Beginner,1,Beginner
202300081,84.5,80.1,72.2,96.7,82.1,96.5,85.4,17,3,536,82.3,84.4,89.3,9.64,1,Sulit,Advanced,0,Intermediate
202300082,57.8,78.1,88.0,56.1,61.7,72.8,69.1,14,6,1162,67.9,72.0,67.2,12.68,1,Mudah,Intermediate,0,Intermediate
202300083,36.9,35.5,11.3,19.7,53.4,37.2,32.3,6,14,1212,36.2,15.5,45.3,14.83,1,Sulit,Beginner,1,Beginner
202300084,46.4,25.3,51.3,64.8,32.7,43.5,44.0,9,11,1119,35.8,58.0,38.1,13.92,1,Sedang,Beginner,1,Beginner
202300085,35.6,40.5,39.0,28.5,34.6,23.2,33.6,7,13,1424,38.0,33.8,28.9,6.57,2,Sulit,Beginner,1,Beginner
202300086,31.2,34.5,24.9,42.4,36.6,48.9,36.4,7,13,1137,32.8,33.6,42.8,8.43,3,Mudah,Beginner,1,Beginner
202300087,59.8,66.8,72.9,48.4,65.9,69.6,63.9,13,7,801,63.3,60.6,67.8,8.75,1,Sulit,Intermediate,0,Intermediate
202300088,84.2,54.4,57.8,55.6,73.8,56.5,63.7,13,7,724,69.3,56.7,65.2,12.34,1,Sulit,Intermediate,0,Intermediate
202300089,85.1,77.1,80.2,80.4,80.1,85.1,81.3,16,4,601,81.1,80.3,82.6,3.16,1,Sulit,Advanced,0,Intermediate
202300090,63.9,62.9,53.4,67.3,60.3,69.1,62.8,13,7,790,63.4,60.4,64.7,5.58,2,Mudah,Intermediate,0,Intermediate
202300091,17.7,43.5,39.5,49.9,30.0,50.4,38.5,8,12,1306,30.6,44.7,40.2,12.67,4,Sedang,Beginner,1,Beginner
202300092,49.1,48.9,63.9,72.2,69.4,53.4,59.5,12,8,774,49.0,68.0,61.4,10.36,2,Sulit,Intermediate,0,Intermediate
202300093,78.9,53.4,47.7,73.6,56.0,56.7,61.0,12,8,946,66.2,60.6,56.4,12.31,2,Sedang,Intermediate,0,Intermediate
202300094,61.4,49.9,60.0,65.5,60.2,56.5,58.9,12,8,640,55.6,62.8,58.4,5.28,2,Sedang,Intermediate,0,Intermediate
202300095,44.0,64.0,64.0,58.5,56.0,37.5,54.0,11,9,715,54.0,61.2,46.8,10.92,3,Sulit,Intermediate,0,Intermediate
202300096,70.9,65.6,79.3,51.5,74.3,60.6,67.0,13,7,844,68.2,65.4,67.4,10.03,3,Sedang,Intermediate,0,Intermediate
202300097,66.0,50.2,81.0,47.3,67.5,55.4,61.2,12,8,1162,58.1,64.2,61.4,12.67,1,Sedang,Intermediate,0,Intermediate
202300098,59.5,74.5,67.8,85.9,53.2,81.7,70.4,14,6,826,67.0,76.8,67.4,12.7,1,Sedang,Intermediate,0,Intermediate
202300099,63.9,33.5,50.0,35.4,45.8,50.1,46.5,9,11,1298,48.7,42.7,48.0,11.14,1,Sulit,Beginner,1,Beginner
202300100,41.4,47.1,37.2,25.4,49.0,36.6,39.4,8,12,1053,44.2,31.3,42.8,8.53,2,Mudah,Beginner,1,Beginner
202300101,27.2,35.2,29.4,25.3,52.3,7.4,29.5,6,14,976,31.2,27.4,29.8,14.59,3,Mudah,Beginner,1,Beginner
202300102,57.6,58.7,57.4,64.2,48.9,83.3,61.7,12,8,635,58.2,60.8,66.1,11.67,2,Sedang,Intermediate,0,Intermediate
202300103,33.6,3.4,39.6,49.4,36.9,32.7,32.6,7,13,1083,18.5,44.5,34.8,15.51,1,Sedang,Beginner,1,Beginner
202300104,67.7,73.2,62.4,58.7,43.0,62.1,61.2,12,8,695,70.4,60.6,52.6,10.26,2,Sedang,Intermediate,0,Intermediate
202300105,84.6,64.1,71.5,97.3,84.1,76.4,79.7,16,4,504,74.4,84.4,80.2,11.62,2,Sulit,Advanced,0,Intermediate
202300106,26.9,61.7,37.1,43.2,49.5,37.3,42.6,9,11,1356,44.3,40.2,43.4,11.98,1,Sulit,Beginner,1,Beginner
202300107,63.6,54.8,63.1,61.4,77.2,67.2,64.6,13,7,610,59.2,62.2,72.2,7.42,2,Mudah,Intermediate,0,Intermediate
202300108,56.6,74.8,58.8,50.7,70.3,60.0,61.9,12,8,935,65.7,54.8,65.2,8.99,1,Sedang,Intermediate,0,Intermediate
202300109,55.9,26.8,22.9,48.3,59.3,46.6,43.3,9,11,1128,41.4,35.6,53.0,15.09,3,Mudah,Beginner,1,Beginner
202300110,58.8,26.1,33.0,34.0,30.0,42.3,37.4,7,13,1204,42.4,33.5,36.2,11.79,3,Mudah,Beginner,1,Beginner
202300111,21.7,54.9,12.9,44.9,41.2,27.9,33.9,7,13,1238,38.3,28.9,34.6,15.76,2,Mudah,Beginner,1,Beginner
202300112,44.1,37.1,55.2,27.1,33.0,42.9,39.9,8,12,1088,40.6,41.2,38.0,9.8,3,Sulit,Beginner,1,Beginner
202300113,85.9,70.6,78.3,83.9,69.2,98.7,81.1,16,4,562,78.2,81.1,84.0,10.96,2,Sulit,Advanced,0,Intermediate
202300114,76.5,86.9,81.9,84.9,86.6,88.8,84.3,17,3,772,81.7,83.4,87.7,4.46,1,Mudah,Advanced,0,Intermediate
202300115,75.5,93.0,71.7,72.8,59.2,33.9,67.7,14,6,1123,84.2,72.2,46.6,19.79,1,Mudah,Intermediate,0,Intermediate
202300116,88.6,79.2,79.9,76.1,68.9,79.9,78.8,16,4,512,83.9,78.0,74.4,6.39,2,Sulit,Advanced,0,Intermediate
202300117,87.0,88.9,95.5,95.2,82.2,83.9,88.8,18,2,467,88.0,95.4,83.1,5.6,1,Sulit,Advanced,0,Intermediate
202300118,38.8,24.2,49.4,34.7,53.0,18.6,36.4,7,13,1439,31.5,42.0,35.8,13.56,2,Mudah,Beginner,1,Beginner
202300119,100.0,82.9,93.3,73.4,84.0,81.6,85.9,17,3,588,91.4,83.4,82.8,9.39,2,Sulit,Advanced,0,Intermediate
202300120,64.9,82.2,55.4,62.0,76.4,69.6,68.4,14,6,931,73.6,58.7,73.0,9.78,2,Sulit,Intermediate,0,Intermediate
202300121,77.2,89.7,94.9,84.2,74.5,91.3,85.3,17,3,593,83.4,89.6,82.9,8.14,1,Sedang,Advanced,0,Intermediate
202300122,90.9,89.3,77.4,70.9,91.5,81.5,83.6,17,3,480,90.1,74.2,86.5,8.39,1,Sulit,Advanced,0,Intermediate
202300123,44.8,32.0,44.1,34.6,24.9,42.9,37.2,7,13,1254,38.4,39.4,33.9,8.04,2,Mudah,Beginner,1,Beginner
202300124,32.9,45.1,42.1,44.3,48.3,41.7,42.4,8,12,1215,39.0,43.2,45.0,5.23,1,Sedang,Beginner,1,Beginner
202300125,16.4,32.3,57.2,42.8,5.5,41.2,32.6,7,13,1022,24.3,50.0,23.4,18.87,1,Mudah,Beginner,1,Beginner
202300126,66.8,61.5,72.4,64.0,52.4,62.3,63.2,13,7,871,64.2,68.2,57.4,6.61,2,Mudah,Intermediate,0,Intermediate
202300127,67.5,85.8,80.6,85.6,53.1,82.9,75.9,15,5,803,76.6,83.1,68.0,13.07,1,Sulit,Advanced,0,Intermediate
202300128,93.0,93.0,90.5,79.2,88.0,83.0,87.8,18,2,703,93.0,84.8,85.5,5.63,1,Sedang,Advanced,0,Intermediate
202300129,21.7,42.1,27.2,32.7,50.8,37.4,35.3,7,13,958,31.9,30.0,44.1,10.47,2,Sedang,Beginner,1,Beginner
202300130,58.0,61.0,48.7,46.8,81.3,48.4,57.4,11,9,929,59.5,47.8,64.8,13.07,4,Sedang,Intermediate,0,Intermediate
202300131,48.0,70.9,46.1,65.4,54.7,74.6,60.0,12,8,1022,59.4,55.8,64.6,12.05,1,Mudah,Intermediate,0,Intermediate
202300132,43.8,69.8,47.1,37.6,27.6,54.6,46.8,9,11,1376,56.8,42.4,41.1,14.51,1,Mudah,Beginner,1,Beginner
202300133,58.5,44.2,48.7,45.5,43.0,37.9,46.3,9,11,1277,51.4,47.1,40.4,6.94,1,Mudah,Beginner,1,Beginner
202300134,25.6,35.4,50.9,32.0,44.5,48.6,39.5,8,12,992,30.5,41.4,46.6,10.04,2,Sedang,Beginner,1,Beginner
202300135,96.3,82.6,85.7,86.3,100.0,73.0,87.3,17,3,761,89.4,86.0,86.5,9.72,1,Sedang,Advanced,0,Intermediate
202300136,37.8,52.0,41.4,17.2,27.0,42.6,36.3,7,13,1306,44.9,29.3,34.8,12.38,2,Sedang,Beginner,1,Beginner
202300137,61.5,68.4,68.4,84.9,55.2,62.2,66.8,13,7,615,65.0,76.6,58.7,10.16,1,Sedang,Intermediate,0,Intermediate
202300138,53.7,67.4,47.2,52.9,66.6,52.5,56.7,11,9,847,60.6,50.0,59.6,8.29,1,Sedang,Intermediate,0,Intermediate
202300139,32.4,21.3,31.5,43.0,30.5,23.3,30.3,6,14,1100,26.8,37.2,26.9,7.71,2,Mudah,Beginner,1,Beginner
202300140,80.2,89.3,75.7,80.2,85.5,70.5,80.2,16,4,741,84.8,78.0,78.0,6.71,1,Sulit,Advanced,0,Intermediate
202300141,92.3,74.5,78.6,90.8,91.4,91.5,86.5,17,3,524,83.4,84.7,91.4,7.84,1,Sedang,Advanced,0,Intermediate
202300142,35.7,47.7,47.0,40.7,34.1,42.7,41.3,8,12,1255,41.7,43.8,38.4,5.64,1,Mudah,Beginner,1,Beginner
202300143,47.5,57.1,64.3,75.9,48.9,74.9,61.4,12,8,1148,52.3,70.1,61.9,12.4,1,Mudah,Intermediate,0,Intermediate
202300144,32.6,26.8,33.9,40.5,29.9,63.0,37.8,8,12,1379,29.7,37.2,46.4,13.18,1,Mudah,Beginner,1,Beginner
202300145,23.2,42.9,13.3,38.4,32.5,31.6,30.3,6,14,1453,33.0,25.8,32.0,10.68,2,Mudah,Beginner,1,Beginner
202300146,50.0,59.3,24.1,36.9,52.5,52.3,45.8,9,11,1487,54.6,30.5,52.4,12.94,1,Sedang,Beginner,1,Beginner
202300147,79.4,62.7,59.8,67.1,68.8,58.8,66.1,13,7,606,71.1,63.4,63.8,7.61,1,Mudah,Intermediate,0,Intermediate
202300148,54.3,63.8,62.4,52.5,55.1,53.8,57.0,11,9,974,59.0,57.4,54.4,4.83,1,Sedang,Intermediate,0,Intermediate
202300149,40.3,36.7,43.7,51.2,38.4,33.4,40.6,8,12,1148,38.5,47.4,35.9,6.23,4,Sedang,Beginner,1,Beginner
202300150,39.0,44.0,42.8,32.5,39.5,20.2,36.3,7,13,1416,41.5,37.6,29.8,8.86,3,Mudah,Beginner,1,Beginner
202300151,79.2,82.1,74.6,97.3,72.4,85.8,81.9,16,4,541,80.6,85.9,79.1,8.98,1,Sedang,Advanced,0,Intermediate
202300152,46.0,36.8,47.9,42.9,26.0,30.0,38.3,8,12,1489,41.4,45.4,28.0,8.89,2,Mudah,Beginner,1,Beginner
202300153,47.8,36.2,30.5,49.1,40.0,20.9,37.4,7,13,1268,42.0,39.8,30.4,10.71,1,Sedang,Beginner,1,Beginner
202300154,62.8,52.9,60.5,78.7,72.0,53.2,63.4,13,7,1076,57.8,69.6,62.6,10.31,2,Mudah,Intermediate,0,Intermediate
202300155,83.8,97.2,94.7,85.2,80.7,95.2,89.5,18,2,461,90.5,90.0,88.0,7.03,1,Sedang,Advanced,0,Intermediate
202300156,27.1,26.2,30.3,38.5,53.3,28.5,34.0,7,13,1010,26.6,34.4,40.9,10.44,3,Mudah,Beginner,1,Beginner
202300157,64.8,66.4,78.4,64.4,57.9,67.6,66.6,13,7,1055,65.6,71.4,62.8,6.69,2,Sedang,Intermediate,0,Intermediate
202300158,69.9,68.6,74.8,81.9,42.6,59.7,66.3,13,7,613,69.2,78.4,51.2,13.7,3,Sedang,Intermediate,0,Intermediate
202300159,20.4,52.3,58.3,25.0,47.1,32.3,39.2,8,12,1390,36.3,41.6,39.7,15.5,1,Sedang,Beginner,1,Beginner
202300160,60.3,61.6,73.7,64.4,63.6,39.4,60.5,12,8,608,61.0,69.1,51.5,11.36,3,Mudah,Intermediate,0,Intermediate
202300161,49.1,60.4,39.0,48.9,40.2,45.9,47.2,9,11,1294,54.8,44.0,43.0,7.73,3,Mudah,Beginner,1,Beginner
202300162,68.6,51.6,75.9,64.5,66.4,77.1,67.4,13,7,819,60.1,70.2,71.8,9.24,1,Mudah,Intermediate,0,Intermediate
202300163,62.1,66.3,73.2,41.7,64.9,52.1,60.1,12,8,967,64.2,57.4,58.5,11.31,1,Mudah,Intermediate,0,Intermediate
202300164,63.3,59.6,50.5,42.1,67.6,70.3,58.9,12,8,1018,61.4,46.3,68.9,10.75,1,Mudah,Intermediate,0,Intermediate
202300165,48.8,34.4,18.8,41.5,38.0,35.7,36.2,7,13,1105,41.6,30.2,36.8,9.96,1,Mudah,Beginner,1,Beginner
202300166,84.6,86.0,92.3,100.0,100.0,83.4,91.0,18,2,472,85.3,96.2,91.7,7.58,1,Sulit,Advanced,0,Intermediate
202300167,35.6,37.2,36.3,36.0,42.7,21.7,34.9,7,13,942,36.4,36.2,32.2,6.99,2,Sedang,Beginner,1,Beginner
202300168,22.4,38.0,42.7,60.0,48.2,53.1,44.1,9,11,1253,30.2,51.4,50.7,13.12,2,Mudah,Beginner,1,Beginner
202300169,38.7,47.8,47.5,11.9,35.1,28.1,34.8,7,13,1212,43.2,29.7,31.6,13.53,4,Sedang,Beginner,1,Beginner
202300170,61.0,68.2,71.8,64.7,29.9,47.6,57.2,11,9,1045,64.6,68.2,38.8,15.76,1,Sedang,Intermediate,0,Intermediate
202300171,65.6,67.4,80.5,75.2,58.2,48.7,65.9,13,7,906,66.5,77.8,53.4,11.46,4,Mudah,Intermediate,0,Intermediate
202300172,27.5,58.2,29.4,8.8,46.2,38.2,34.7,7,13,1153,42.8,19.1,42.2,17.01,1,Mudah,Beginner,1,Beginner
202300173,53.2,57.4,85.0,58.0,55.6,61.7,61.8,12,8,839,55.3,71.5,58.6,11.7,2,Mudah,Intermediate,0,Intermediate
202300174,23.0,34.9,32.0,29.4,37.5,41.2,33.0,7,13,916,29.0,30.7,39.4,6.4,2,Mudah,Beginner,1,Beginner
202300175,71.9,49.8,66.6,64.7,73.0,56.3,63.7,13,7,801,60.8,65.6,64.6,9.07,1,Sedang,Intermediate,0,Intermediate
202300176,49.1,22.1,39.7,34.1,34.4,55.0,39.1,8,12,1486,35.6,36.9,44.7,11.74,3,Sulit,Beginner,1,Beginner
202300177,80.5,83.9,78.3,46.7,62.2,59.8,68.6,14,6,1124,82.2,62.5,61.0,14.61,1,Sedang,Intermediate,0,Intermediate
202300178,16.0,35.8,44.7,39.6,45.6,29.8,35.2,7,13,1098,25.9,42.2,37.7,11.1,3,Mudah,Beginner,1,Beginner
202300179,80.1,91.5,87.1,85.8,85.9,72.8,83.9,17,3,702,85.8,86.4,79.4,6.53,1,Sulit,Advanced,0,Intermediate
202300180,33.3,35.7,22.4,31.2,43.2,32.8,33.1,7,13,1408,34.5,26.8,38.0,6.74,2,Sedang,Beginner,1,Beginner
202300181,31.4,47.9,27.7,28.9,27.8,38.1,33.6,7,13,1165,39.6,28.3,33.0,8.0,2,Sedang,Beginner,1,Beginner
202300182,20.9,49.0,37.9,30.4,34.6,28.1,33.5,7,13,911,35.0,34.2,31.4,9.57,3,Sedang,Beginner,1,Beginner
202300183,68.9,74.2,100.0,82.4,86.7,74.1,81.0,16,4,456,71.6,91.2,80.4,11.28,1,Sedang,Advanced,0,Intermediate
202300184,85.5,66.9,79.6,86.1,79.0,80.5,79.6,16,4,665,76.2,82.8,79.8,6.92,2,Sedang,Advanced,0,Intermediate
