limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score
41.6,31.3,45.3,51.4,35.2,17.3
83.2,99.0,83.7,54.8,33.0,71.7
75.3,55.4,87.9,45.0,72.9,69.6
70.0,97.5,97.3,51.6,91.6,93.7
66.0,64.6,67.7,58.4,91.4,58.8
60.6,57.5,56.8,42.9,43.8,36.3
74.3,66.4,65.1,32.5,51.6,63.0
34.1,31.0,24.2,22.1,22.8,38.3
46.1,29.6,36.3,6.5,27.1,44.8
68.4,62.4,74.8,39.7,58.4,54.1
87.9,78.2,69.2,80.7,53.7,82.7
87.8,67.1,51.9,70.8,73.5,52.2
73.7,64.2,34.0,53.4,78.5,59.4
60.2,77.0,84.6,44.5,59.2,34.0
100.0,61.2,68.9,56.0,49.0,70.8
55.6,74.2,51.9,46.0,35.3,20.8
50.7,52.3,35.2,39.9,38.8,18.6
35.7,74.0,19.7,43.8,32.3,41.0
67.5,67.2,86.3,67.4,68.2,43.5
4.8,27.5,25.3,32.9,15.4,26.4
65.8,81.4,78.6,57.9,64.0,59.3
70.1,100.0,89.0,79.2,64.7,68.5
68.3,54.0,70.2,44.8,41.5,34.5
65.7,31.9,40.0,28.8,25.2,29.8
45.8,57.2,65.2,83.9,25.9,40.7
45.6,24.1,32.4,1.2,46.7,13.5
65.5,61.9,70.7,56.8,61.4,56.9
59.3,63.4,74.3,80.5,74.2,48.2
93.9,92.4,66.9,47.3,63.7,92.3
74.8,56.8,94.6,59.1,43.3,45.8
100.0,46.0,66.0,63.5,66.6,78.2
74.1,57.9,79.6,80.0,80.6,64.0
50.4,20.7,29.8,7.2,25.2,14.6
41.7,26.8,50.7,43.8,34.8,41.1
57.1,47.0,25.8,34.0,16.2,34.3
66.3,49.3,69.4,63.9,60.9,44.7
69.3,54.9,57.0,43.3,74.3,54.6
33.3,21.0,5.1,28.6,25.3,24.3
47.4,51.9,49.4,42.6,53.6,36.5
61.4,65.7,30.8,43.4,50.8,38.4
72.5,81.9,43.1,86.7,38.3,79.4
62.5,46.6,48.5,50.5,24.5,44.4
75.8,46.8,45.5,25.6,24.5,49.2
63.9,40.3,43.3,38.9,21.2,40.7
56.8,58.1,68.1,40.5,57.1,30.6
35.7,45.2,14.9,10.3,20.3,25.0
38.4,43.4,30.1,30.7,50.8,23.6
39.6,41.6,66.2,28.4,0.0,29.3
96.8,71.5,85.1,99.7,100.0,100.0
100.0,82.2,91.8,92.8,65.5,75.4
83.2,71.9,54.5,73.6,88.7,42.6
33.9,43.4,35.1,16.6,22.9,48.6
100.0,100.0,85.9,80.4,73.4,62.9
71.0,72.1,80.7,84.0,43.9,75.6
48.0,77.5,76.3,59.4,62.3,78.1
76.7,59.8,51.7,60.3,37.6,59.0
33.7,36.3,21.2,43.7,15.7,1.9
47.2,41.9,48.6,33.1,4.2,27.3
70.4,85.5,67.6,96.4,95.2,69.7
78.7,81.5,74.1,86.2,69.8,76.1
61.0,58.5,70.3,26.6,61.8,13.0
56.5,44.8,56.6,45.7,31.2,44.8
78.2,84.7,72.0,67.9,60.5,78.9
34.7,28.8,29.3,4.4,17.7,15.8
82.9,100.0,58.2,69.4,71.2,74.3
17.0,38.7,38.7,32.9,39.9,42.6
66.1,84.3,75.1,47.8,55.6,46.1
72.4,84.4,50.3,55.9,60.1,49.1
26.8,57.1,38.7,51.1,54.5,30.5
56.9,28.4,51.8,73.5,37.9,49.0
46.2,63.5,52.1,62.1,62.9,48.1
26.7,60.6,21.7,26.0,36.8,40.7
73.6,74.8,66.8,37.1,55.5,60.2
22.5,41.9,32.2,25.1,31.7,25.7
73.8,76.8,43.6,48.7,36.9,46.0
54.8,54.2,26.5,35.3,64.3,26.5
53.2,65.8,54.2,72.1,40.3,34.0
1.1,48.3,30.2,41.6,29.4,22.2
50.7,84.1,56.5,62.2,45.7,55.6
66.7,52.2,62.1,22.3,68.0,4.3
49.4,90.2,81.7,73.1,96.9,57.8
70.5,61.8,51.4,64.8,59.0,41.6
26.7,36.3,47.7,28.8,36.3,22.8
86.2,98.5,76.1,70.8,56.4,78.1
32.7,46.6,31.1,26.7,29.6,23.2
79.6,100.0,85.2,62.7,63.9,67.8
81.0,67.8,51.4,72.3,56.5,41.0
91.6,76.0,65.5,73.2,84.1,65.3
29.3,28.9,42.1,4.0,3.8,0.9
83.1,88.0,70.2,70.6,47.7,56.5
46.0,67.0,62.1,65.6,39.1,42.6
92.0,52.4,96.7,82.6,66.0,76.6
53.1,64.3,59.4,58.4,90.0,20.0
73.6,96.9,79.3,80.7,82.4,51.7
20.1,27.7,28.7,19.4,27.4,29.9
20.9,11.8,42.0,13.7,13.1,22.9
66.2,86.3,51.5,35.3,50.0,63.8
84.4,86.4,87.6,76.3,35.3,72.8
48.9,43.9,50.2,56.8,51.7,41.8
67.1,87.1,97.4,89.1,86.2,68.0
86.0,90.7,83.8,92.6,97.2,45.0
51.5,30.0,26.5,42.7,14.8,46.8
38.7,87.0,65.3,68.0,62.4,54.8
30.4,47.1,43.6,28.6,36.1,55.6
79.4,72.7,100.0,85.6,70.2,57.0
54.7,40.5,38.9,43.5,6.7,51.7
69.3,62.8,68.5,58.4,71.2,59.1
100.0,74.9,53.9,46.5,61.1,68.7
79.6,65.7,62.1,63.5,56.8,78.0
54.4,32.9,63.4,9.9,17.6,25.1
100.0,88.6,66.3,83.8,64.2,62.6
23.5,45.3,16.9,2.8,32.1,5.7
36.3,55.3,16.2,49.5,55.9,21.6
82.2,93.6,65.9,62.2,76.1,72.4
38.4,30.6,10.2,29.4,48.5,25.0
62.0,88.2,79.5,54.8,74.5,66.4
74.2,83.9,100.0,78.1,92.5,81.0
73.5,45.0,43.5,76.4,36.3,6.1
98.5,95.1,65.9,100.0,77.8,100.0
35.5,72.3,44.0,50.2,32.1,30.3
74.3,50.1,53.4,59.1,27.9,56.6
48.3,44.4,53.2,36.7,42.6,39.2
86.1,65.6,78.4,98.3,72.2,84.7
52.4,35.0,24.0,23.3,20.8,35.8
13.2,32.3,31.0,31.7,7.6,0.0
82.6,50.5,77.8,45.4,69.6,68.6
100.0,96.9,83.8,100.0,100.0,83.6
95.6,82.9,78.5,100.0,100.0,57.9
63.1,46.5,59.1,56.7,27.6,49.7
80.7,99.9,68.9,59.1,70.6,75.3
85.4,100.0,89.1,88.2,75.4,63.1
65.4,84.5,52.2,44.2,80.2,64.4
50.7,56.2,44.7,45.2,50.9,21.5
100.0,92.5,97.7,100.0,70.0,64.2
49.6,90.5,69.5,70.0,60.9,62.7
60.5,72.7,49.2,28.5,39.2,46.1
39.8,56.9,30.6,27.1,55.6,40.0
65.6,44.8,72.3,53.5,50.2,39.7
33.1,41.8,54.8,39.0,52.7,24.9
100.0,85.8,85.1,56.7,39.3,80.4
51.1,5.9,42.4,23.1,33.0,35.5
74.2,54.9,65.2,54.2,65.9,59.2
76.8,100.0,78.2,90.7,100.0,92.0
64.8,64.3,29.1,26.4,29.9,50.7
53.6,68.8,41.6,43.8,31.9,13.5
64.7,76.7,87.1,35.6,48.2,54.0
82.0,89.0,100.0,79.9,93.5,79.3
56.0,40.6,18.2,29.9,44.0,22.3
36.1,29.1,13.0,33.3,12.5,18.2
94.4,76.3,90.3,86.9,79.0,48.6
100.0,100.0,80.0,90.7,37.2,60.6
82.8,77.9,24.0,48.1,42.9,45.3
62.4,24.8,54.2,46.2,39.9,24.4
5.4,47.5,16.9,41.4,44.3,21.2
54.6,50.9,42.7,34.8,15.6,44.6
48.9,56.5,60.4,62.7,43.0,27.4
42.4,75.5,90.4,38.6,68.4,70.0
47.5,50.8,24.0,45.0,11.3,31.4
86.5,62.4,57.6,62.5,51.4,63.0
49.8,79.5,65.4,66.3,53.4,55.1
62.8,61.7,71.5,46.1,65.5,28.8
26.2,43.2,40.5,41.7,26.8,26.9
78.5,64.3,74.0,56.3,74.8,54.9
83.4,82.5,82.0,52.5,58.7,41.9
66.2,75.6,55.8,60.4,44.6,60.7
59.6,49.1,47.5,32.9,30.3,31.7
9.6,9.0,2.5,32.4,15.9,0.0
100.0,80.0,81.4,95.0,84.2,71.0
62.3,59.6,25.7,38.6,50.3,55.6
50.6,53.1,31.4,51.0,50.5,43.6
80.0,52.4,75.0,68.2,45.6,52.4
62.0,77.6,56.3,47.0,66.6,55.7
97.9,71.8,74.4,80.9,89.8,73.8
30.9,59.6,20.4,32.2,20.9,49.7
90.2,85.1,78.4,75.8,80.0,62.5
43.5,53.8,54.3,47.1,37.2,19.6
62.2,91.2,83.1,70.3,67.3,99.2
90.2,59.2,41.8,39.6,40.1,47.7
47.9,31.6,25.6,13.5,56.9,6.0
40.2,33.3,34.6,34.3,11.4,10.7
72.9,79.9,59.5,48.6,72.3,15.2
99.9,67.0,80.8,87.4,68.1,69.8
56.0,43.3,72.4,73.5,49.4,65.3
100.0,93.5,75.5,57.1,87.6,50.8
73.2,82.9,81.1,59.5,91.4,69.9
82.3,52.8,53.0,86.0,51.3,56.9
100.0,63.8,94.0,85.3,85.0,43.9
37.9,38.7,28.3,31.8,32.6,21.8
72.0,33.5,42.5,21.5,28.4,28.2
99.9,100.0,88.2,74.1,69.3,71.2
100.0,88.5,100.0,66.0,90.8,79.3
40.8,61.6,34.9,42.9,13.9,2.7
63.4,61.3,78.4,59.7,72.8,61.4
71.0,66.2,91.5,83.8,56.5,53.4
88.9,91.9,69.3,72.3,83.2,79.1
74.2,46.8,44.1,25.3,59.5,41.4
53.5,48.9,42.5,40.9,47.5,40.9
27.0,38.2,40.5,9.2,36.2,15.5
82.7,79.2,75.1,60.6,46.9,65.3
67.3,84.0,58.3,35.1,55.1,53.6
100.0,84.5,91.2,100.0,72.5,79.0
60.3,42.1,24.9,29.0,32.4,52.3
51.8,44.7,29.9,44.9,35.7,27.1
42.4,48.7,70.5,66.2,57.2,61.0
54.2,53.1,56.6,55.7,53.5,68.7
63.9,88.5,72.9,82.1,92.9,82.9
44.4,50.1,62.9,44.9,28.7,17.2
42.3,55.2,41.6,0.0,24.7,0.0
59.0,65.2,66.4,69.5,54.6,65.4
22.6,53.9,52.3,42.7,24.3,35.5
77.0,100.0,81.1,69.5,79.6,74.9
59.7,27.3,30.6,23.0,24.2,52.1
55.3,69.6,37.0,48.3,71.0,30.8
97.2,80.8,71.2,60.2,72.8,69.3
49.8,44.0,55.9,57.6,43.7,53.9
60.2,31.2,58.3,21.6,49.0,5.5
38.1,65.2,42.5,15.9,53.4,27.9
47.4,45.2,6.8,47.5,56.0,49.5
100.0,82.4,63.2,63.4,43.7,41.5
74.2,35.5,81.7,25.1,20.2,48.3
37.6,46.2,53.3,24.0,37.3,46.3
39.5,81.8,36.3,57.3,50.3,42.9
66.4,55.8,64.7,65.2,57.5,23.3
66.6,38.2,49.2,51.8,72.8,41.1
56.8,59.1,22.0,61.5,53.4,48.4
55.4,37.3,37.7,30.7,20.3,13.8
91.6,65.6,68.8,59.3,59.4,49.8
90.5,80.2,71.1,79.0,89.2,79.0
100.0,87.9,66.6,68.4,58.6,91.6
41.1,41.8,41.8,33.2,45.4,32.8
52.6,22.7,18.3,24.4,17.2,16.7
49.8,51.8,50.9,43.0,28.3,41.9
44.4,23.6,19.2,18.4,19.8,26.6
59.5,42.8,63.4,63.0,48.1,38.6
58.9,62.8,52.7,45.6,60.2,73.7
54.5,33.1,58.9,36.2,26.5,23.9
52.5,30.2,17.8,33.3,28.4,29.4
73.6,74.5,56.5,69.2,49.5,61.6
24.7,14.7,36.0,1.6,27.3,18.5
69.1,80.2,100.0,88.6,90.4,77.5
26.0,37.1,52.1,20.9,21.7,32.0
64.8,73.1,86.0,98.2,79.6,90.9
47.7,59.3,43.7,30.0,40.3,43.6
91.6,98.0,60.9,76.3,51.4,77.4
82.6,82.7,89.2,100.0,86.6,62.5
58.6,90.7,72.0,75.2,100.0,67.1
77.3,63.8,53.5,85.0,59.9,91.2
70.7,75.3,81.0,68.2,69.5,68.1
96.0,91.1,49.6,57.1,62.2,40.3
69.2,81.0,83.5,81.7,94.9,82.3
29.4,15.4,26.1,48.5,46.0,2.5
86.4,69.7,68.6,55.2,29.4,58.8
78.2,92.1,59.1,45.9,57.1,64.2
100.0,91.7,100.0,85.9,100.0,72.2
58.1,69.5,62.7,52.7,62.4,55.0
42.9,32.3,49.0,21.6,8.9,0.0
77.7,36.4,46.9,57.7,53.0,41.4
41.4,51.9,39.5,47.3,20.2,37.1
65.7,22.1,44.4,40.7,58.1,50.9
46.2,65.7,49.8,54.7,36.8,67.0
55.1,65.7,46.7,29.3,42.8,38.5
38.7,1.1,17.0,47.0,15.9,14.9
33.1,19.4,27.2,44.2,15.8,13.9
44.9,27.1,13.2,37.6,47.5,44.6
35.7,36.8,3.0,15.4,25.6,15.2
36.4,41.3,21.7,44.4,31.7,7.7
63.0,79.4,70.9,68.0,39.8,31.5
42.9,65.9,19.7,52.1,12.8,54.8
94.2,91.3,59.4,91.8,57.8,66.0
65.7,83.3,91.2,100.0,68.1,69.9
72.1,71.8,58.8,47.5,67.4,50.1
27.6,21.8,30.9,3.7,8.7,5.9
65.3,82.2,66.2,49.5,74.4,74.7
72.8,82.4,97.6,100.0,75.0,45.5
81.8,80.7,35.8,75.7,49.4,39.9
100.0,100.0,91.9,86.3,73.2,87.9
61.1,80.5,34.7,51.8,62.0,53.0
85.3,78.7,100.0,62.9,100.0,48.3
24.0,49.0,21.4,52.1,4.4,9.1
55.5,24.7,36.7,49.6,45.0,41.1
68.5,42.4,22.4,34.9,51.2,9.6
65.3,55.8,40.1,57.5,43.4,33.4
88.1,79.1,95.5,78.1,83.8,82.3
58.4,58.2,73.4,21.1,49.7,21.7
88.5,67.5,66.5,65.4,64.8,58.7
16.7,24.5,14.7,55.8,47.5,24.5
55.5,75.5,40.3,79.8,77.7,76.0
55.5,56.3,49.7,51.5,63.2,35.0
87.2,93.9,90.1,97.6,82.2,94.2
67.3,45.5,34.4,35.8,28.7,26.9
92.8,100.0,91.3,82.8,70.2,79.7
58.3,66.3,70.0,81.5,73.8,48.8
53.4,58.3,60.0,61.1,44.3,19.1
49.1,96.9,76.1,61.2,62.3,79.2
82.5,64.9,68.6,76.4,77.9,77.5
84.0,89.4,89.2,92.0,72.8,73.3
39.2,38.8,44.2,30.0,36.3,29.8
95.3,73.9,79.9,91.5,96.7,77.0
71.4,33.0,47.9,33.5,24.5,30.1
66.6,66.6,47.9,77.6,52.7,68.6
18.7,61.9,16.2,44.5,41.8,41.4
82.8,48.7,60.8,54.8,61.6,73.4
76.7,50.9,53.8,37.1,68.7,45.8
87.4,51.6,77.0,63.0,65.9,47.1
86.9,86.0,83.5,74.0,61.3,35.0
65.4,67.9,79.7,52.3,44.6,79.3
100.0,87.5,89.7,72.9,64.7,84.3
58.3,62.9,71.1,50.0,34.5,66.7
73.1,45.6,67.1,60.7,51.4,82.4
70.9,84.9,90.2,88.9,56.1,81.2
42.1,76.1,41.9,27.1,55.9,22.9
78.1,59.0,68.8,54.8,40.0,42.1
43.6,31.7,48.3,39.9,28.2,22.7
83.6,83.6,65.7,33.7,41.2,59.5
88.5,66.6,45.8,59.6,65.2,54.1
95.6,72.8,93.3,100.0,74.3,77.3
84.9,73.6,83.6,42.5,46.6,31.2
37.0,54.4,37.0,40.3,53.0,48.6
62.8,100.0,88.2,93.2,93.1,79.4
45.7,43.2,26.0,25.0,40.2,32.3
54.0,46.2,42.6,36.0,51.9,45.7
26.2,22.6,9.8,0.0,12.4,14.8
13.2,36.3,23.5,48.0,35.5,24.5
43.4,43.1,70.8,40.7,35.8,42.2
37.5,29.4,39.0,46.5,69.0,32.4
73.1,77.6,73.7,97.5,67.2,82.4
48.0,74.0,68.0,60.0,71.9,61.3
50.4,23.5,31.7,36.4,40.9,37.6
58.3,68.3,52.0,44.4,62.9,47.3
88.4,81.1,91.6,79.0,83.1,78.6
100.0,90.6,78.8,73.5,88.3,68.0
85.4,100.0,68.0,37.5,67.2,80.1
71.0,66.4,92.9,81.1,68.9,66.2
44.0,11.6,54.7,21.5,67.5,31.9
79.9,75.1,86.3,93.0,67.5,52.7
56.6,72.3,55.3,71.3,59.1,52.3
79.6,81.2,82.2,66.3,77.3,78.4
34.4,18.0,20.6,19.0,21.4,7.9
86.7,61.2,53.4,51.7,100.0,64.1
58.1,82.9,45.9,49.5,33.3,47.3
58.3,61.7,41.6,56.2,40.2,47.1
45.5,76.8,52.0,90.0,83.6,59.4
63.4,75.6,40.5,73.8,64.5,15.1
37.0,42.1,50.3,38.0,67.9,35.0
73.3,56.8,68.9,55.5,46.6,46.5
85.8,84.0,100.0,76.2,80.3,82.5
21.8,30.4,29.5,69.5,25.6,26.2
46.6,91.0,62.4,52.9,43.3,39.1
78.4,83.0,69.2,94.7,43.4,55.9
59.0,32.7,21.6,53.1,42.7,27.0
56.1,80.1,83.2,56.8,84.0,83.4
93.8,73.7,99.1,70.6,70.6,85.1
75.3,66.9,45.7,30.2,40.2,49.5
80.5,71.4,76.0,63.6,54.9,70.5
88.0,100.0,80.2,74.4,85.4,85.9
37.0,58.7,33.8,78.5,17.8,15.7
80.6,92.5,72.9,67.6,80.1,89.8
29.4,50.8,38.7,53.2,67.4,23.4
50.9,79.0,63.9,83.7,83.7,85.1
80.9,64.7,78.2,57.4,43.1,38.0
64.4,48.9,68.2,56.0,44.9,40.1
39.4,31.2,22.5,26.9,30.0,54.3
79.0,100.0,95.3,91.4,77.8,68.9
33.4,43.3,44.6,54.1,27.8,64.8
51.3,41.4,49.8,51.6,50.2,47.9
45.9,40.3,38.8,59.2,43.2,31.9
94.2,100.0,94.1,92.8,100.0,78.4
45.1,57.3,38.0,53.6,38.6,13.4
96.1,92.6,98.2,96.1,94.5,78.5
72.9,62.1,62.2,46.5,36.0,34.2
66.4,42.1,38.4,26.2,21.9,21.6
33.8,37.9,38.9,42.0,51.5,49.1
42.2,41.2,46.6,37.5,40.4,35.7
78.5,78.4,70.5,42.4,35.7,21.8
100.0,91.7,84.2,69.3,71.6,85.5
35.0,39.9,76.3,31.6,19.4,31.2
90.4,67.3,100.0,57.0,70.9,73.4
64.6,40.6,39.3,34.4,50.8,41.3
96.7,100.0,76.9,59.4,66.7,69.6
91.9,67.6,93.7,64.4,64.0,57.4
93.0,95.9,70.2,75.8,64.4,97.2
64.1,50.2,78.3,39.9,50.0,62.4
90.5,60.6,82.0,88.2,86.4,66.8
57.7,38.2,63.4,59.1,42.0,35.1
48.4,34.7,43.3,29.2,15.5,45.8
44.3,22.7,47.5,24.1,16.4,7.6
49.6,54.3,56.2,64.6,30.7,21.2
69.9,53.2,63.7,42.5,34.4,41.1
100.0,47.9,68.9,51.5,82.4,66.1
64.0,99.5,89.2,92.8,76.2,77.9
44.6,51.1,47.1,48.3,52.2,29.5
55.4,86.8,69.7,73.2,60.0,78.2
56.3,25.4,39.4,49.5,36.5,36.8
45.0,48.5,46.7,6.9,50.6,26.7
81.8,82.6,48.2,80.8,21.7,49.8
100.0,70.8,70.3,87.2,86.6,90.2
53.4,67.5,48.0,51.0,43.9,35.1
59.3,40.8,26.9,42.0,58.2,26.4
26.2,78.8,38.9,52.4,62.9,47.8
69.8,70.9,52.4,46.3,20.5,2.5
100.0,73.7,77.3,82.8,91.8,68.2
90.7,100.0,66.7,59.5,62.4,56.9
40.9,31.4,23.6,51.0,29.7,54.9
31.2,64.2,27.6,18.8,46.4,8.0
38.0,50.4,39.6,27.5,28.3,23.8
99.1,76.0,87.3,100.0,97.4,70.6
64.9,62.8,52.0,47.8,56.0,62.5
97.9,87.2,79.1,67.0,73.6,71.9
51.8,75.9,81.8,59.1,77.4,81.1
77.9,66.2,54.2,57.2,63.8,60.4
47.2,62.8,34.3,32.9,55.3,33.4
88.2,100.0,81.1,73.8,92.4,81.5
26.3,44.0,42.1,38.4,35.9,13.8
77.4,86.3,63.8,55.4,70.8,66.0
34.8,78.1,71.2,74.4,66.5,42.9
82.8,74.3,44.8,73.7,66.5,51.3
68.3,79.1,66.5,97.1,71.5,76.9
37.6,21.8,27.9,36.5,51.1,38.9
56.3,53.3,57.3,100.0,77.7,23.3
83.7,66.1,55.1,84.2,63.8,69.4
60.7,67.8,55.8,61.3,46.7,53.0
45.9,58.6,42.7,28.5,61.1,10.5
25.5,24.4,38.1,32.1,38.3,0.0
60.7,63.7,42.2,59.5,45.5,8.9
57.1,71.3,48.1,63.2,33.2,28.9
66.8,87.4,68.4,86.6,85.8,74.4
62.8,54.4,62.9,57.7,53.0,53.0
51.5,91.1,76.3,51.1,48.2,56.5
76.6,67.3,70.8,71.1,72.6,43.4
49.8,65.4,75.1,46.2,60.0,47.4
62.0,38.3,45.4,24.2,37.4,33.2
76.1,61.0,59.7,72.4,71.6,61.0
64.1,23.3,34.0,48.7,55.0,11.9
38.0,54.3,62.2,64.9,53.3,54.2
65.6,46.5,54.6,58.5,53.8,43.0
98.2,100.0,58.2,76.1,72.4,50.1
59.4,26.8,50.5,16.7,38.4,19.6
63.5,59.6,72.5,50.0,42.8,68.9
68.5,73.0,52.4,32.5,64.0,52.5
70.7,79.1,68.7,43.3,50.8,41.8
72.1,82.6,79.7,80.6,99.0,73.0
57.2,77.7,29.8,59.8,77.5,84.7
45.5,9.9,23.0,47.9,43.0,34.8
57.2,70.1,73.2,100.0,79.5,86.8
72.5,56.1,62.3,51.5,55.9,79.9
69.8,34.6,72.6,58.2,34.6,39.6
61.2,55.5,43.1,39.5,34.8,54.5
11.3,18.5,37.5,20.1,12.9,14.4
83.4,46.0,38.9,67.0,67.2,54.3
100.0,74.8,77.6,67.5,44.8,61.1
73.9,78.0,70.2,77.8,62.4,69.4
82.6,98.4,78.1,100.0,82.6,73.5
57.1,68.9,86.9,47.3,61.8,53.7
54.8,81.2,73.8,62.3,52.7,58.9
89.7,100.0,83.1,69.0,74.0,72.7
63.8,64.8,32.5,48.9,61.2,6.3
83.5,90.9,93.6,88.3,90.5,68.5
76.7,72.9,56.7,70.2,46.8,36.0
32.7,43.5,13.2,16.8,19.9,19.4
49.8,35.4,0.0,26.1,19.7,30.5
95.3,84.6,79.6,99.8,74.5,77.3
47.5,35.6,44.9,56.9,21.9,21.2
37.1,22.1,71.0,43.2,37.7,29.1
31.3,43.8,42.3,33.9,20.2,32.8
39.6,45.9,36.9,57.0,29.5,19.7
38.2,36.8,22.1,75.8,32.0,42.8
54.7,60.7,65.6,57.5,56.2,63.7
64.6,35.6,27.4,63.5,23.1,47.5
100.0,100.0,100.0,81.2,77.8,73.6
100.0,94.9,95.6,90.3,90.5,90.5
27.7,37.4,57.9,54.0,45.8,28.8
55.8,65.2,45.9,53.1,73.6,46.0
58.7,64.3,81.1,57.1,86.2,59.7
39.4,35.6,44.1,29.1,50.5,29.4
38.2,63.6,25.0,53.2,77.4,6.5
59.2,75.7,100.0,98.8,94.6,74.2
88.4,76.0,76.6,100.0,72.7,62.7
100.0,98.3,99.5,100.0,92.5,74.8
40.3,47.5,1.2,29.5,19.3,37.3
67.7,63.7,73.1,46.9,55.4,37.3
96.6,61.0,85.9,89.0,59.3,52.0
51.1,50.8,49.0,59.0,47.9,25.2
74.5,71.2,81.3,64.3,52.5,49.1
15.9,58.7,42.6,22.7,28.1,43.1
53.1,31.8,29.1,38.2,37.1,46.8
66.4,40.9,64.3,55.5,54.7,39.4
36.0,50.1,27.3,40.0,2.2,19.3
50.0,67.3,40.8,53.1,15.1,18.8
85.6,100.0,100.0,95.8,68.7,99.0
82.3,100.0,92.1,96.2,58.0,74.6
90.2,54.9,57.4,39.3,62.7,64.8
65.3,96.2,69.3,76.9,67.9,53.6
100.0,75.2,63.1,90.1,96.1,62.7
34.1,46.1,45.0,25.7,44.6,32.5
61.6,43.4,45.2,60.5,58.2,47.4
69.4,25.0,41.2,18.4,42.0,5.9
47.4,28.3,49.7,29.7,35.2,22.7
71.2,83.9,65.9,74.8,72.3,76.1
56.3,89.0,85.2,96.4,77.6,60.7
68.9,62.4,53.2,53.3,57.3,74.0
46.1,16.0,37.1,45.1,45.0,33.9
36.8,23.7,11.0,30.4,0.0,6.5
78.8,79.6,91.0,83.2,68.8,59.8
36.0,51.5,26.7,36.9,28.9,38.7
39.7,60.1,51.0,34.9,43.2,25.0
36.8,68.2,37.5,68.5,62.0,36.2
58.8,57.5,46.4,65.4,35.4,79.0
89.0,31.4,62.8,48.1,95.6,48.6
65.4,48.1,77.4,65.1,38.3,74.2
48.0,60.1,47.4,52.7,16.6,25.1
40.0,41.5,30.3,41.7,46.8,22.3
94.7,72.2,86.7,97.8,75.0,88.8
81.7,98.6,70.1,63.6,40.2,62.2
73.3,70.3,93.4,41.3,55.7,47.3
53.3,53.5,54.2,52.9,49.3,9.3
47.7,60.9,54.4,16.6,72.0,53.5
58.9,40.1,57.6,42.2,27.4,0.0
35.9,47.5,22.2,24.0,36.1,37.6
63.5,97.7,70.8,51.6,67.5,59.9
43.9,51.0,57.1,48.5,56.1,37.8
95.2,96.7,81.3,96.9,50.1,58.0
90.5,90.2,37.9,81.8,52.9,37.8
63.3,48.2,63.3,42.4,56.0,47.3
88.9,94.7,100.0,92.1,70.8,79.6
61.9,69.0,72.1,65.5,61.3,33.4
79.8,42.0,62.1,68.6,73.2,64.7
81.6,47.2,67.2,63.1,61.6,58.4
86.8,72.1,73.2,92.5,82.6,58.9
