nim,limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score,total_score,jumlah_benar,jumlah_salah,waktu_detik,mudah_score,sedang_score,sulit_score,konsistensi_score,attempt_ke,level_quiz,label_referensi
202300066,100.0,61.2,68.9,56.0,49.0,70.8,67.6,15,5,1010,99.9,75.3,57.6,17.79,2,Sedang,Menengah
202300067,55.6,74.2,51.9,46.0,35.3,20.8,47.3,9,11,1034,69.4,58.6,53.4,18.23,1,Sedang,Menengah
202300068,50.7,52.3,35.2,39.9,38.8,18.6,39.2,9,11,1400,59.9,34.0,28.5,12.21,1,Mudah,Pemula
202300069,35.7,74.0,19.7,43.8,32.3,41.0,41.1,7,13,1333,47.1,31.2,25.5,18.19,2,Mudah,Pemula
202300070,67.5,67.2,86.3,67.4,68.2,43.5,66.7,9,11,986,77.3,70.4,59.9,13.61,1,Sulit,Menengah
202300071,4.8,27.5,25.3,32.9,15.4,26.4,22.0,9,11,1259,45.3,28.0,4.6,10.19,2,Sedang,Pemula
202300072,65.8,81.4,78.6,57.9,64.0,59.3,67.8,16,4,1078,85.4,61.5,50.6,9.9,2,Mudah,Menengah
202300073,70.1,100.0,89.0,79.2,64.7,68.5,78.6,16,4,1251,88.1,77.1,68.2,13.67,2,Sulit,Mahir
202300074,68.3,54.0,70.2,44.8,41.5,34.5,52.2,12,8,1050,63.9,56.5,38.8,14.62,1,Sedang,Pemula
202300075,65.7,31.9,40.0,28.8,25.2,29.8,36.9,6,14,1152,53.4,44.2,29.7,14.95,1,Mudah,Pemula
202300076,45.8,57.2,65.2,83.9,25.9,40.7,53.1,11,9,1009,64.6,43.8,21.2,20.29,1,Sedang,Pemula
202300077,45.6,24.1,32.4,1.2,46.7,13.5,27.2,6,14,1069,51.4,23.3,13.6,18.0,3,Sedang,Pemula
202300078,65.5,61.9,70.7,56.8,61.4,56.9,62.2,13,7,1149,100.0,73.2,54.0,5.31,3,Mudah,Menengah
202300079,59.3,63.4,74.3,80.5,74.2,48.2,66.6,14,6,1142,81.4,55.3,43.3,11.94,1,Sulit,Menengah
202300080,93.9,92.4,66.9,47.3,63.7,92.3,76.1,16,4,1233,88.2,82.5,71.4,19.56,2,Sedang,Mahir
202300081,74.8,56.8,94.6,59.1,43.3,45.8,62.4,7,13,1282,70.3,75.4,47.0,19.36,2,Sedang,Menengah
202300082,100.0,46.0,66.0,63.5,66.6,78.2,70.0,11,9,1461,82.3,81.6,55.8,17.96,4,Sulit,Menengah
202300083,74.1,57.9,79.6,80.0,80.6,64.0,72.7,17,3,999,89.7,86.5,82.3,9.59,1,Sedang,Mahir
202300084,50.4,20.7,29.8,7.2,25.2,14.6,24.6,6,14,1289,45.0,33.1,15.3,14.91,2,Sedang,Pemula
202300085,41.7,26.8,50.7,43.8,34.8,41.1,39.8,8,12,1052,56.6,55.6,26.9,8.17,2,Mudah,Pemula
202300086,57.1,47.0,25.8,34.0,16.2,34.3,35.7,8,12,1409,44.9,17.3,17.8,14.62,1,Mudah,Pemula
202300087,66.3,49.3,69.4,63.9,60.9,44.7,59.1,11,9,1153,86.9,57.7,47.8,9.88,1,Sedang,Menengah
202300088,69.3,54.9,57.0,43.3,74.3,54.6,58.9,9,11,1229,72.1,68.4,64.5,11.2,1,Mudah,Menengah
202300089,33.3,21.0,5.1,28.6,25.3,24.3,22.9,2,18,1149,41.3,25.7,13.7,9.68,2,Sedang,Pemula
202300090,47.4,51.9,49.4,42.6,53.6,36.5,46.9,9,11,1236,71.1,62.0,34.4,6.37,2,Mudah,Menengah
202300091,61.4,65.7,30.8,43.4,50.8,38.4,48.4,15,5,1272,62.7,43.1,17.4,13.48,2,Mudah,Pemula
202300092,72.5,81.9,43.1,86.7,38.3,79.4,67.0,15,5,1163,81.5,60.8,51.8,20.92,1,Sedang,Menengah
202300093,62.5,46.6,48.5,50.5,24.5,44.4,46.2,7,13,1105,64.2,45.7,32.1,12.36,3,Mudah,Menengah
202300094,75.8,46.8,45.5,25.6,24.5,49.2,44.6,10,10,1417,65.8,41.8,19.9,18.79,1,Sedang,Pemula
202300095,63.9,40.3,43.3,38.9,21.2,40.7,41.4,10,10,1576,51.9,38.1,28.4,13.61,4,Sedang,Pemula
202300096,56.8,58.1,68.1,40.5,57.1,30.6,51.9,9,11,970,78.2,60.6,44.5,13.68,1,Mudah,Menengah
202300097,35.7,45.2,14.9,10.3,20.3,25.0,25.2,7,13,1430,50.2,25.4,15.2,13.13,3,Mudah,Pemula
202300098,38.4,43.4,30.1,30.7,50.8,23.6,36.2,9,11,764,68.9,52.5,33.4,9.96,3,Sedang,Pemula
202300099,39.6,41.6,66.2,28.4,0.0,29.3,34.2,5,15,1352,46.4,47.0,21.8,21.61,3,Mudah,Pemula
202300100,96.8,71.5,85.1,99.7,100.0,100.0,92.2,17,3,631,100.0,100.0,87.3,11.64,3,Sedang,Mahir
202300101,100.0,82.2,91.8,92.8,65.5,75.4,84.6,15,5,905,100.0,77.2,69.6,12.74,1,Sedang,Mahir
202300102,83.2,71.9,54.5,73.6,88.7,42.6,69.1,11,9,897,63.4,53.4,50.3,17.47,2,Sedang,Menengah
202300103,33.9,43.4,35.1,16.6,22.9,48.6,33.4,6,14,1232,55.8,38.8,17.8,12.06,2,Sedang,Pemula
202300104,100.0,100.0,85.9,80.4,73.4,62.9,83.8,18,2,1111,100.0,100.0,83.0,14.74,1,Sulit,Mahir
202300105,71.0,72.1,80.7,84.0,43.9,75.6,71.2,12,8,686,96.7,95.0,72.2,14.28,4,Mudah,Mahir
202300106,48.0,77.5,76.3,59.4,62.3,78.1,66.9,14,6,1019,81.9,66.6,68.1,12.34,1,Sulit,Menengah
202300107,76.7,59.8,51.7,60.3,37.6,59.0,57.5,15,5,1058,67.4,62.8,60.3,12.76,1,Sulit,Menengah
202300108,33.7,36.3,21.2,43.7,15.7,1.9,25.4,7,13,1531,47.8,42.0,14.0,15.4,3,Sedang,Pemula
202300109,47.2,41.9,48.6,33.1,4.2,27.3,33.7,7,13,1349,47.7,27.1,0.0,16.63,1,Mudah,Pemula
202300110,70.4,85.5,67.6,96.4,95.2,69.7,80.8,16,4,789,96.9,96.5,82.3,13.25,1,Mudah,Mahir
202300111,78.7,81.5,74.1,86.2,69.8,76.1,77.7,19,1,992,81.6,70.8,57.6,5.76,1,Sulit,Menengah
202300112,61.0,58.5,70.3,26.6,61.8,13.0,48.5,6,14,1528,49.2,36.2,12.9,23.01,3,Mudah,Pemula
202300113,56.5,44.8,56.6,45.7,31.2,44.8,46.6,11,9,1392,49.3,37.2,15.2,9.41,3,Sulit,Pemula
202300114,78.2,84.7,72.0,67.9,60.5,78.9,73.7,14,6,963,90.1,72.9,50.0,8.71,1,Sedang,Menengah
202300115,34.7,28.8,29.3,4.4,17.7,15.8,21.8,3,17,1227,49.9,33.0,29.9,11.2,2,Sedang,Pemula
202300116,82.9,100.0,58.2,69.4,71.2,74.3,76.0,15,5,935,100.0,75.8,76.9,14.21,2,Sedang,Mahir
202300117,17.0,38.7,38.7,32.9,39.9,42.6,35.0,5,15,1116,60.0,51.8,43.8,9.35,2,Mudah,Menengah
202300118,66.1,84.3,75.1,47.8,55.6,46.1,62.5,15,5,878,68.5,43.7,49.0,15.36,2,Sedang,Menengah
202300119,72.4,84.4,50.3,55.9,60.1,49.1,62.0,13,7,1041,62.1,56.2,43.7,13.81,4,Sulit,Menengah
202300120,26.8,57.1,38.7,51.1,54.5,30.5,43.1,9,11,1427,53.6,57.4,31.6,12.91,1,Mudah,Menengah
202300121,56.9,28.4,51.8,73.5,37.9,49.0,49.6,8,12,1095,64.0,61.3,48.5,15.6,1,Sulit,Menengah
202300122,46.2,63.5,52.1,62.1,62.9,48.1,55.8,12,8,1138,72.6,64.8,50.6,7.93,2,Sulit,Menengah
202300123,26.7,60.6,21.7,26.0,36.8,40.7,35.4,7,13,1290,59.0,42.9,28.2,14.26,1,Mudah,Pemula
202300124,73.6,74.8,66.8,37.1,55.5,60.2,61.3,13,7,1436,73.0,86.6,55.8,14.03,2,Sedang,Menengah
202300125,22.5,41.9,32.2,25.1,31.7,25.7,29.8,4,16,1271,49.0,34.2,22.1,7.04,1,Mudah,Pemula
202300126,73.8,76.8,43.6,48.7,36.9,46.0,54.3,15,5,1334,62.6,59.6,48.1,16.76,1,Sedang,Menengah
202300127,54.8,54.2,26.5,35.3,64.3,26.5,43.6,5,15,1166,52.0,36.5,19.8,16.25,4,Sulit,Pemula
202300128,53.2,65.8,54.2,72.1,40.3,34.0,53.3,11,9,1174,67.8,54.0,24.2,14.51,1,Sulit,Pemula
202300129,1.1,48.3,30.2,41.6,29.4,22.2,28.8,7,13,1302,44.5,32.7,8.8,16.48,2,Sulit,Pemula
202300130,50.7,84.1,56.5,62.2,45.7,55.6,59.1,14,6,1030,71.3,69.6,43.2,13.44,3,Mudah,Menengah
202300131,66.7,52.2,62.1,22.3,68.0,4.3,45.9,11,9,1203,66.6,40.2,32.5,26.5,1,Sedang,Pemula
202300132,49.4,90.2,81.7,73.1,96.9,57.8,74.8,13,7,1150,98.6,91.7,78.7,18.49,1,Mudah,Mahir
202300133,70.5,61.8,51.4,64.8,59.0,41.6,58.2,17,3,970,76.3,71.0,45.4,10.3,1,Sulit,Menengah
202300134,26.7,36.3,47.7,28.8,36.3,22.8,33.1,3,17,1260,54.9,39.7,18.7,8.94,2,Mudah,Pemula
202300135,86.2,98.5,76.1,70.8,56.4,78.1,77.7,17,3,1210,76.2,71.0,52.7,14.2,1,Mudah,Menengah
202300136,32.7,46.6,31.1,26.7,29.6,23.2,31.6,3,17,1171,49.3,34.6,19.5,8.06,2,Mudah,Pemula
202300137,79.6,100.0,85.2,62.7,63.9,67.8,76.5,15,5,1177,100.0,85.4,67.2,14.58,1,Mudah,Mahir
202300138,81.0,67.8,51.4,72.3,56.5,41.0,61.7,16,4,1141,67.5,60.3,46.7,14.72,1,Mudah,Menengah
202300139,91.6,76.0,65.5,73.2,84.1,65.3,76.0,13,7,1012,92.0,72.0,55.0,10.41,1,Mudah,Mahir
202300140,29.3,28.9,42.1,4.0,3.8,0.9,18.2,4,16,1004,42.4,26.7,12.7,17.42,1,Sulit,Pemula
202300141,83.1,88.0,70.2,70.6,47.7,56.5,69.4,12,8,1037,84.4,55.3,54.0,15.32,1,Sulit,Menengah
202300142,46.0,67.0,62.1,65.6,39.1,42.6,53.7,9,11,1194,79.9,66.8,44.3,12.53,4,Mudah,Menengah
202300143,92.0,52.4,96.7,82.6,66.0,76.6,77.7,15,5,1311,94.8,69.2,64.1,16.54,1,Sulit,Mahir
202300144,53.1,64.3,59.4,58.4,90.0,20.0,57.5,8,12,1216,74.6,60.9,58.3,22.51,2,Sedang,Menengah
202300145,73.6,96.9,79.3,80.7,82.4,51.7,77.4,10,10,1261,89.4,74.3,50.7,14.8,2,Sulit,Menengah
202300146,20.1,27.7,28.7,19.4,27.4,29.9,25.5,5,15,1162,32.8,29.9,0.0,4.57,2,Mudah,Pemula
202300147,20.9,11.8,42.0,13.7,13.1,22.9,20.7,3,17,1302,35.6,17.1,18.7,11.35,2,Sedang,Pemula
202300148,66.2,86.3,51.5,35.3,50.0,63.8,58.8,12,8,1350,52.3,56.8,45.4,17.43,1,Sedang,Menengah
202300149,84.4,86.4,87.6,76.3,35.3,72.8,73.8,16,4,927,85.3,75.0,64.5,19.75,2,Mudah,Menengah
202300150,48.9,43.9,50.2,56.8,51.7,41.8,48.9,10,10,1402,51.0,42.3,28.3,5.43,1,Sedang,Pemula
202300151,67.1,87.1,97.4,89.1,86.2,68.0,82.5,17,3,1096,100.0,96.2,74.6,12.23,3,Sedang,Mahir
202300152,86.0,90.7,83.8,92.6,97.2,45.0,82.6,16,4,1080,79.5,71.5,62.9,19.0,1,Sedang,Mahir
202300153,51.5,30.0,26.5,42.7,14.8,46.8,35.4,9,11,1254,42.3,17.8,19.0,13.97,2,Mudah,Pemula
202300154,38.7,87.0,65.3,68.0,62.4,54.8,62.7,14,6,948,82.5,71.4,61.8,15.9,2,Sedang,Menengah
202300155,30.4,47.1,43.6,28.6,36.1,55.6,40.2,8,12,1541,48.2,36.6,31.1,10.43,2,Sedang,Pemula
202300156,79.4,72.7,100.0,85.6,70.2,57.0,77.5,16,4,1203,82.7,54.0,46.0,14.64,1,Mudah,Menengah
202300157,54.7,40.5,38.9,43.5,6.7,51.7,39.3,10,10,1322,49.3,37.6,30.5,17.16,2,Mudah,Pemula
202300158,69.3,62.8,68.5,58.4,71.2,59.1,64.9,12,8,1045,78.5,73.3,50.2,5.52,2,Mudah,Menengah
202300159,100.0,74.9,53.9,46.5,61.1,68.7,67.5,18,2,1122,81.5,55.1,46.7,18.86,2,Mudah,Menengah
202300160,79.6,65.7,62.1,63.5,56.8,78.0,67.6,12,8,1120,87.4,84.0,54.5,9.16,1,Mudah,Menengah
202300161,54.4,32.9,63.4,9.9,17.6,25.1,33.9,5,15,1290,60.2,39.8,35.9,21.03,1,Mudah,Pemula
202300162,100.0,88.6,66.3,83.8,64.2,62.6,77.6,14,6,1168,84.0,75.5,66.7,15.45,1,Sedang,Mahir
202300163,23.5,45.3,16.9,2.8,32.1,5.7,21.0,5,15,1229,35.5,15.7,1.5,16.14,3,Sedang,Pemula
202300164,36.3,55.3,16.2,49.5,55.9,21.6,39.1,7,13,983,64.8,47.3,37.6,17.27,1,Sulit,Pemula
202300165,82.2,93.6,65.9,62.2,76.1,72.4,75.4,14,6,1092,78.0,69.2,59.1,11.41,2,Sedang,Menengah
202300166,38.4,30.6,10.2,29.4,48.5,25.0,30.4,9,11,1023,45.8,22.4,10.1,12.88,2,Sedang,Pemula
202300167,62.0,88.2,79.5,54.8,74.5,66.4,70.9,12,8,1006,85.4,93.5,56.7,12.21,2,Sulit,Mahir
202300168,74.2,83.9,100.0,78.1,92.5,81.0,85.0,16,4,917,96.9,80.0,74.4,9.62,2,Sedang,Mahir
202300169,73.5,45.0,43.5,76.4,36.3,6.1,46.8,11,9,1299,54.5,43.1,30.6,25.96,2,Sedang,Pemula
202300170,98.5,95.1,65.9,100.0,77.8,100.0,89.6,18,2,1265,94.9,98.8,70.4,14.33,2,Mudah,Mahir
202300171,35.5,72.3,44.0,50.2,32.1,30.3,44.1,11,9,927,60.7,56.3,33.4,15.75,1,Sedang,Pemula
202300172,74.3,50.1,53.4,59.1,27.9,56.6,53.6,9,11,1499,80.6,68.7,45.4,15.1,3,Sedang,Menengah
202300173,48.3,44.4,53.2,36.7,42.6,39.2,44.1,7,13,1260,37.0,25.3,26.3,6.03,4,Sedang,Pemula
202300174,86.1,65.6,78.4,98.3,72.2,84.7,80.9,17,3,1057,99.3,84.6,61.2,11.49,2,Sulit,Mahir
202300175,52.4,35.0,24.0,23.3,20.8,35.8,31.9,5,15,1046,58.4,24.7,19.1,11.87,4,Sulit,Pemula
202300176,13.2,32.3,31.0,31.7,7.6,0.0,19.3,3,17,1462,50.5,39.2,9.2,14.19,4,Sulit,Pemula
202300177,82.6,50.5,77.8,45.4,69.6,68.6,65.8,13,7,1054,86.8,63.8,56.5,14.82,2,Sedang,Menengah
202300178,100.0,96.9,83.8,100.0,100.0,83.6,94.0,19,1,938,100.0,86.3,76.5,8.11,2,Sulit,Mahir
202300179,95.6,82.9,78.5,100.0,100.0,57.9,85.8,16,4,657,100.0,88.7,89.1,16.37,2,Sulit,Mahir
202300180,63.1,46.5,59.1,56.7,27.6,49.7,50.4,13,7,1166,73.0,60.6,45.8,12.75,1,Mudah,Menengah
202300181,80.7,99.9,68.9,59.1,70.6,75.3,75.8,16,4,1111,100.0,85.4,69.7,13.85,1,Sedang,Mahir
202300182,85.4,100.0,89.1,88.2,75.4,63.1,83.5,15,5,945,99.1,96.8,61.4,12.74,2,Mudah,Mahir
202300183,65.4,84.5,52.2,44.2,80.2,64.4,65.1,13,7,1293,73.2,70.7,41.6,15.54,3,Mudah,Menengah
202300184,50.7,56.2,44.7,45.2,50.9,21.5,44.9,9,11,1388,65.3,53.3,30.2,12.21,1,Mudah,Pemula
202300185,100.0,92.5,97.7,100.0,70.0,64.2,87.4,15,5,880,100.0,77.6,69.7,16.07,3,Sedang,Mahir
202300186,49.6,90.5,69.5,70.0,60.9,62.7,67.2,8,12,1350,82.6,79.3,53.9,13.61,2,Mudah,Menengah
202300187,60.5,72.7,49.2,28.5,39.2,46.1,49.4,10,10,1240,59.1,38.8,12.7,15.61,2,Mudah,Pemula
202300188,39.8,56.9,30.6,27.1,55.6,40.0,41.7,5,15,1253,66.5,54.5,25.3,12.39,1,Mudah,Pemula
202300189,65.6,44.8,72.3,53.5,50.2,39.7,54.4,14,6,1202,62.6,66.5,45.6,12.43,2,Sedang,Menengah
202300190,33.1,41.8,54.8,39.0,52.7,24.9,41.0,13,7,1267,62.3,44.2,35.1,11.43,1,Sulit,Pemula
202300191,100.0,85.8,85.1,56.7,39.3,80.4,74.6,14,6,597,89.8,87.4,55.0,22.28,1,Sulit,Mahir
202300192,51.1,5.9,42.4,23.1,33.0,35.5,31.8,8,12,1284,51.7,9.5,6.2,15.79,1,Sedang,Pemula
202300193,74.2,54.9,65.2,54.2,65.9,59.2,62.3,11,9,971,73.2,50.4,31.7,7.65,1,Mudah,Pemula
202300194,76.8,100.0,78.2,90.7,100.0,92.0,89.6,19,1,1210,100.0,99.4,80.7,10.17,1,Sulit,Mahir
202300195,64.8,64.3,29.1,26.4,29.9,50.7,44.2,9,11,1456,73.5,56.0,26.4,18.0,2,Mudah,Pemula
202300196,53.6,68.8,41.6,43.8,31.9,13.5,42.2,10,10,1385,58.6,33.2,37.0,18.82,1,Sulit,Pemula
202300197,64.7,76.7,87.1,35.6,48.2,54.0,61.0,10,10,1035,79.8,69.0,59.4,18.97,1,Sedang,Menengah
202300198,82.0,89.0,100.0,79.9,93.5,79.3,87.3,18,2,840,94.8,65.3,70.2,8.36,3,Sedang,Mahir
202300199,56.0,40.6,18.2,29.9,44.0,22.3,35.2,8,12,1146,62.2,44.3,35.9,14.3,2,Mudah,Pemula
202300200,36.1,29.1,13.0,33.3,12.5,18.2,23.7,3,17,1616,51.9,19.2,13.3,10.44,4,Mudah,Pemula
202300201,94.4,76.3,90.3,86.9,79.0,48.6,79.2,12,8,879,92.6,92.9,75.8,16.48,2,Sedang,Mahir
202300202,100.0,100.0,80.0,90.7,37.2,60.6,78.1,16,4,623,96.5,91.6,66.0,24.9,1,Sedang,Mahir
202300203,82.8,77.9,24.0,48.1,42.9,45.3,53.5,9,11,1333,70.4,51.9,32.4,22.51,3,Sulit,Menengah
202300204,62.4,24.8,54.2,46.2,39.9,24.4,42.0,7,13,1502,50.6,43.3,18.3,15.44,3,Sedang,Pemula
202300205,5.4,47.5,16.9,41.4,44.3,21.2,29.4,7,13,1528,67.6,37.9,37.6,17.28,2,Sedang,Pemula
